,Missing Count,Missing %
fin24sav_SD_ND,6720,78.35
fin28_29,6703,78.15
con9a,6619,77.17
fin26b,6618,77.16
fin38,6604,77.0
con1,6595,76.89
internet,6595,76.89
fin32_33,6408,74.71
fin37_39a,6278,73.2
fin24fam_VD,6251,72.88
fin37_38_39a,6224,72.57
fh1,6199,72.27
fin24sav,6158,71.8
fin32_n33_34c,6136,71.54
fin24work,6084,70.93
fin25e2b,6079,70.88
fh2,6071,70.78
mobileaccount_t_d,6050,70.54
fin31b,6039,70.41
fh1_fh2,6017,70.15
fin37_38_39_acc,5975,69.66
fin37_39_acc,5968,69.58
fin24aND,5882,68.58
fin43c,5788,67.48
fin24fam_SD_ND,5782,67.41
fin22g,5710,66.57
fin24aVD,5669,66.1
fin17c,5645,65.82
fin24fam,5581,65.07
fin34c,5578,65.03
fin24aSD_ND,5541,64.6
fin24aSD,5541,64.6
fin32_n33_34a,5463,63.69
fing2p_acc,5463,63.69
fin26a,5407,63.04
fin31a,5191,60.52
fin22a,5100,59.46
fin42,5069,59.1
fin37_38,5043,58.8
fin32_n33_acc,5041,58.77
fing2p_fin,4959,57.82
fin37,4713,54.95
fin31a_31b,4637,54.06
fin34a,4631,53.99
fing2p,4557,53.13
fin22d,4539,52.92
fin10,4365,50.89
fin32_acc,4179,48.72
fin22a_22g,4016,46.82
fin31d,3636,42.39
fin22a_22a1_22g_d,3621,42.22
fin24aN,3486,40.64
fin17a,2865,33.4
g20_received,2799,32.63
g20_made,2797,32.61
fin32_n33,2781,32.42
fin22b,2533,29.53
g20_any,2425,28.27
fin32,2389,27.85
fin17a_17a1_d,2385,27.81
fin30,2357,27.48
save_any_t_d,2175,25.36
borrow_any_t_d,2165,25.24
fin24aP,2122,24.74
fin2_t_d,1384,16.14
pop_adult,684,7.97
regionwb24_hi,684,7.97
incomegroupwb24,684,7.97
fiaccount_t_d,182,2.12
account_t_d,90,1.05
group,0,0.0
group2,0,0.0
year,0,0.0
codewb,0,0.0
countrynewwb,0,0.0
