,Data Type,Non-Null Count,Missing Values,Missing %,Unique Values
fin11f_s,float64,26,8551,99.7,26
fin11d_s,float64,45,8532,99.48,44
fin11e_s,float64,56,8521,99.35,55
fin9b_s,float64,73,8504,99.15,73
fin11_1_s,float64,9,8568,99.9,9
fin5m_s,float64,76,8501,99.11,76
fin6m_s,float64,71,8506,99.17,71
fin9a_s,float64,76,8501,99.11,76
fin5w_s,float64,18,8559,99.79,18
fin6w_s,float64,43,8534,99.5,43
fin17dm_s,float64,56,8521,99.35,56
fin17dlm_s,float64,42,8535,99.51,42
fin25e3w_s,float64,44,8533,99.49,44
fin25e3m_s,float64,22,8555,99.74,22
fin24d1_s,float64,56,8521,99.35,56
fin14d_s,float64,35,8542,99.59,35
fin24d2_s,float64,52,8525,99.39,52
fin11a_s,float64,31,8546,99.64,30
fin11c_s,float64,24,8553,99.72,24
fin5lm_s,float64,31,8546,99.64,31
fin6lm_s,float64,36,8541,99.58,36
fin17dw_s,float64,6,8571,99.93,6
fin14c_s,float64,25,8552,99.71,25
fin13_1a_s,float64,24,8553,99.72,24
fin13_1b_s,float64,17,8560,99.8,17
fin13am_s,float64,25,8552,99.71,25
fin13alm_s,float64,25,8552,99.71,25
fin13bm_s,float64,23,8554,99.73,23
fin13blm_s,float64,25,8552,99.71,25
fin13cm_s,float64,22,8555,99.74,22
fin13clm_s,float64,24,8553,99.72,24
fin21_s,float64,17,8560,99.8,17
fin14b_s,float64,19,8558,99.78,19
fin13cw_s,float64,13,8564,99.85,13
fin13f_s,float64,14,8563,99.84,14
fin14a_s,float64,20,8557,99.77,20
fin25e3lm_s,float64,6,8571,99.93,6
fin13aw_s,float64,11,8566,99.87,11
fin13bw_s,float64,9,8568,99.9,9
fin24d3_s,float64,8,8569,99.91,8
fin5n_s,float64,6,8571,99.93,6
fin6n_s,float64,5,8572,99.94,5
fin13f_1_s,float64,3,8574,99.97,3
fin32_33_34b_s,float64,1,8576,99.99,1
con1,float64,1982,6595,76.89,1921
con2a,float64,598,7979,93.03,597
con2b,float64,275,8302,96.79,275
con2c,float64,145,8432,98.31,145
con2d,float64,289,8288,96.63,289
con2e,float64,121,8456,98.59,121
con2f,float64,157,8420,98.17,157
con2g,float64,277,8300,96.77,277
con3a,float64,433,8144,94.95,433
con3b,float64,85,8492,99.01,78
con3c,float64,85,8492,99.01,75
con3d,float64,85,8492,99.01,85
con3e,float64,85,8492,99.01,81
con3f,float64,85,8492,99.01,78
con3g,float64,85,8492,99.01,85
con4,float64,409,8168,95.23,409
con5a,float64,97,8480,98.87,97
con5b,float64,217,8360,97.47,217
con6,float64,85,8492,99.01,85
con7,float64,85,8492,99.01,85
con8,float64,301,8276,96.49,301
con9a,float64,1958,6619,77.17,1945
con9b,float64,1170,7407,86.36,1166
con10,float64,181,8396,97.89,179
con11,float64,1102,7475,87.15,1101
con12d,float64,1102,7475,87.15,1101
con12w,float64,142,8435,98.34,141
con12m,float64,97,8480,98.87,97
con12lm,float64,85,8492,99.01,85
con13,float64,95,8482,98.89,94
con14,float64,1102,7475,87.15,1101
con15,float64,104,8473,98.79,78
con16,float64,1102,7475,87.15,1101
con17a,float64,1102,7475,87.15,1101
con17b,float64,1102,7475,87.15,1101
con17c,float64,97,8480,98.87,96
con17d,float64,265,8312,96.91,265
con18,float64,1102,7475,87.15,1101
con19,float64,1102,7475,87.15,1101
con20,float64,865,7712,89.91,865
con21,float64,828,7749,90.35,827
con22,float64,85,8492,99.01,85
con23,float64,528,8049,93.84,527
internet,float64,1982,6595,76.89,1947
con26d,float64,1006,7571,88.27,1005
con26w,float64,406,8171,95.27,405
con26m,float64,95,8482,98.89,95
con26lm,float64,109,8468,98.73,109
con27,float64,1078,7499,87.43,1077
con28d,float64,253,8324,97.05,253
con28w,float64,646,7931,92.47,645
con28m,float64,720,7857,91.61,719
con28lm,float64,97,8480,98.87,97
con28n,float64,85,8492,99.01,39
con29,float64,301,8276,96.49,301
con30a,float64,1054,7523,87.71,1053
con30b,float64,1054,7523,87.71,1053
con30c,float64,1090,7487,87.29,1089
con30d,float64,1054,7523,87.71,1053
con30e,float64,1018,7559,88.13,1017
con30f,float64,310,8267,96.39,309
con30g,float64,874,7703,89.81,873
con30h,float64,598,7979,93.03,597
con31a,float64,790,7787,90.79,789
con31b,float64,589,7988,93.13,589
con31c,float64,193,8384,97.75,193
con31d,float64,564,8013,93.42,563
con31e,float64,85,8492,99.01,85
con31f,float64,241,8336,97.19,241
con31g,float64,85,8492,99.01,85
con31h,float64,336,8241,96.08,334
con32a,float64,646,7931,92.47,645
con32b,float64,85,8492,99.01,85
con32c,float64,85,8492,99.01,83
con32d,float64,85,8492,99.01,85
con32e,float64,85,8492,99.01,74
con32f,float64,85,8492,99.01,81
con32g,float64,85,8492,99.01,82
con32h,float64,97,8480,98.87,97
con10_s,float64,8,8569,99.91,8
con11_s,float64,85,8492,99.01,85
con12d_s,float64,85,8492,99.01,85
con14_s,float64,85,8492,99.01,85
con16_s,float64,85,8492,99.01,85
con17a_s,float64,85,8492,99.01,85
con17b_s,float64,85,8492,99.01,85
con18_s,float64,85,8492,99.01,85
con19_s,float64,85,8492,99.01,85
con20_s,float64,65,8512,99.24,65
con21_s,float64,62,8515,99.28,62
con26d_s,float64,77,8500,99.1,77
con27_s,float64,83,8494,99.03,83
con28m_s,float64,53,8524,99.38,53
con30a_s,float64,81,8496,99.06,81
con30b_s,float64,81,8496,99.06,81
con30c_s,float64,84,8493,99.02,84
con30d_s,float64,81,8496,99.06,81
con30e_s,float64,78,8499,99.09,78
con30f_s,float64,19,8558,99.78,19
con30g_s,float64,66,8511,99.23,66
con30h_s,float64,43,8534,99.5,43
con31a_s,float64,59,8518,99.31,59
con31b_s,float64,42,8535,99.51,42
con31f_s,float64,13,8564,99.85,13
con2a_s,float64,43,8534,99.5,43
con15_s,float64,8,8569,99.91,6
con17d_s,float64,15,8562,99.83,15
con29_s,float64,18,8559,99.79,18
con31d_s,float64,40,8537,99.53,40
con31h_s,float64,21,8556,99.76,21
con32a_s,float64,47,8530,99.45,47
con3a_s,float64,29,8548,99.66,29
con4_s,float64,27,8550,99.69,27
con28d_s,float64,14,8563,99.84,14
con28w_s,float64,47,8530,99.45,47
con23_s,float64,37,8540,99.57,37
con31c_s,float64,9,8568,99.9,9
con2b_s,float64,16,8561,99.81,16
con2d_s,float64,17,8560,99.8,17
con26w_s,float64,27,8550,99.69,27
con2c_s,float64,5,8572,99.94,5
con2e_s,float64,3,8574,99.97,3
con2g_s,float64,16,8561,99.81,16
con5b_s,float64,11,8566,99.87,11
con12m_s,float64,1,8576,99.99,1
con26lm_s,float64,2,8575,99.98,2
con12w_s,float64,5,8572,99.94,5
con2f_s,float64,6,8571,99.93,6
con13_s,float64,1,8576,99.99,1
con26m_s,float64,1,8576,99.99,1
con28lm_s,float64,1,8576,99.99,1
con5a_s,float64,1,8576,99.99,1
con17c_s,float64,1,8576,99.99,1
con32h_s,float64,1,8576,99.99,1
