,count,mean,std,min,25%,50%,75%,max
fin32_33_34c_s,2.0,0.7202904894821609,0.04913468764774355,0.6855470186549585,0.7029187540685596,0.7202904894821609,0.737662224895762,0.7550339603093632
fin37_38_39c_s,30.0,0.4932055653911368,0.16105664751069002,0.2748549043684614,0.38448779065578215,0.47710157986613194,0.5612610117609169,0.9185524983758488
fin38_39c_s,16.0,0.5384278472059811,0.1488577200430026,0.3612025555669285,0.47212282113021814,0.5219787520420935,0.583670268862293,0.9933580774703438
fing2p_acc_s,260.0,0.7527886410255584,0.14097894847931203,0.2404196702649809,0.6781747116529688,0.7794637120855274,0.8520679937005535,0.9889552066665468
fing2p_cash_s,35.0,0.4066471386957893,0.15103283853069957,0.1763158857112228,0.309166136820174,0.3920946686133065,0.4837843068473745,0.8635118827431937
fin37_38_39a_s,187.0,0.7030223616131329,0.1401037962202708,0.299783353686166,0.6202467835757772,0.7116830072913541,0.8181475915764813,0.9688021053713752
fin37_38_39_acc_s,211.0,0.7466172915307728,0.13784356432322187,0.3216772327752411,0.6768044990558074,0.7690048340417247,0.8504130257115626,0.987597205277931
fin38_39a_s,115.0,0.7715413863344173,0.13962036490486845,0.3933763475339039,0.680654674029189,0.775254946029549,0.8966406514307603,0.9854180021355968
fin38_39_acc_s,120.0,0.8023453328911229,0.12898994961705293,0.4498472742568615,0.7160635482398718,0.8192357653119462,0.9090011912266508,0.9938810586071124
fin34b_s,42.0,0.4139446253481137,0.12390778451954507,0.1422334961013235,0.3337591213888708,0.4060297161659586,0.48668889439845253,0.6667655332218878
fin32_n33_34b_s,21.0,0.48527445391096447,0.12956891719269434,0.2767886458775481,0.3895131642465594,0.4667206532362284,0.6054407912461056,0.7072904057094243
fin43b_s,8.0,0.3986458032220923,0.15322473939629846,0.2239720744275562,0.2877607697018252,0.3380329294055401,0.5424135083485953,0.6346861422698925
fin27b_s,37.0,0.5354038927691913,0.22622452258263748,0.1704504396315334,0.3583366694938809,0.5044924390948993,0.7382374379599345,0.8903194092979351
fin27a_s,86.0,0.7684814555877932,0.13936017739844525,0.3737442072579567,0.683974716950809,0.7996127274674465,0.8722581309543701,0.9838829948976237
fin22h_s,72.0,0.8301681153170191,0.10239845239087202,0.5651857674393986,0.7878870213349544,0.8528546720869022,0.9084351961206216,0.9796898979306752
fin28_29_s,150.0,0.6245462848395273,0.1356935000781502,0.2902462625628989,0.5218561671651216,0.6257286144593712,0.7215299910122808,0.9396437774879832
fin28_s,114.0,0.6749744383644003,0.10924068147520002,0.4326068621253516,0.5912940376993434,0.6761495228801928,0.7537328520826413,0.8878323582847703
fin29_s,129.0,0.6356484937683673,0.1268890743493818,0.2839636157588729,0.5425154601675828,0.6418586950698003,0.7280454664901397,0.9484968506843984
fing2p_mob_s,13.0,0.4213860042092102,0.14160057472791268,0.2442427304287752,0.3122675942279769,0.3816802837714529,0.5280404039699205,0.6998887924820939
fin37_38_39d_s,1.0,0.2044702199403028,,0.2044702199403028,0.2044702199403028,0.2044702199403028,0.2044702199403028,0.2044702199403028
fin37_38_39b_s,6.0,0.4221374508511689,0.1395508368197599,0.2466203850890477,0.30596555130268,0.44488152297950934,0.5448787938321359,0.558569829198865
fin37_39b_s,4.0,0.4131876517573108,0.15565442026952536,0.258342539046879,0.2914699219894878,0.41194020274208576,0.5336579325099088,0.5705276624981926
fin11_2a_s,46.0,0.47881594284410844,0.11234395554275495,0.270786035500015,0.40458832896364,0.4580972426135035,0.5636965827994848,0.786716110826326
fin11b_s,37.0,0.4376398626296606,0.13467336998162113,0.181372572576381,0.380899439895045,0.43809140070145,0.508544879158813,0.711377455987224
fin11f_s,26.0,0.323007399857092,0.10895253150293775,0.178351738920089,0.25162453502446125,0.322847892997819,0.35945017322016326,0.6978977089859
fin11d_s,45.0,0.5502518896835454,0.19131404796988863,0.221884147107732,0.360062476067788,0.600128944522513,0.69865640698927,0.900887597979286
fin11e_s,56.0,0.4181317404992933,0.16301193669548011,0.139504121655322,0.31332975990781925,0.410816230898696,0.5115441384891257,0.886524693860363
fin9b_s,73.0,0.5113233783694694,0.1441712671930582,0.2118190069615461,0.4086024447933562,0.4970663940674396,0.6177527275968179,0.8814701985392565
fin11_1_s,9.0,0.2497503499802209,0.11579779464718323,0.176467099926526,0.194046644936205,0.206170934040281,0.226535941390244,0.548471630968221
fin5m_s,76.0,0.5297294018233626,0.15644904832654874,0.224195055248655,0.402701375331256,0.4975735438579405,0.64290511955544,0.830292424652356
fin6m_s,71.0,0.3934851858175821,0.11618469134301333,0.196135747885483,0.315515649572719,0.371010145131089,0.448549319602896,0.748633112583502
fin9a_s,76.0,0.4693034516938295,0.13103943231975088,0.245968723675963,0.3780095285353704,0.4443751815616337,0.5514020682289134,0.885520329591401
fin5w_s,18.0,0.209582344845643,0.06291314470300309,0.12042432589851,0.16421965761399399,0.209988929215327,0.2511335904947938,0.336361627929191
fin6w_s,43.0,0.3499379852063625,0.11114497893134037,0.113092755084586,0.275143610053627,0.358457369711819,0.41496877664612597,0.727327408686406
fin17dm_s,56.0,0.48995316913466164,0.09316761167564701,0.295457762909806,0.438129215689814,0.49632856199002495,0.5655905996082542,0.651939654784327
fin17dlm_s,42.0,0.4016189803917863,0.09503434973341998,0.20612942675234,0.337245846227585,0.390593441176431,0.46684812882761473,0.618925401635576
fin25e3w_s,44.0,0.6416365308764465,0.12151527360612331,0.280139422620628,0.5388423041413748,0.6573289583079891,0.7383061891521028,0.887042047781694
fin25e3m_s,22.0,0.29440438210551273,0.11982293717260557,0.147289746940805,0.2079193830240495,0.24227309265556302,0.35386272297309396,0.555033649341337
fin24d1_s,56.0,0.5969253248524756,0.12687532669365706,0.184824624407522,0.5439982996469023,0.599184392765442,0.6754265729822198,0.848535685489502
fin14d_s,35.0,0.5301191432239766,0.13252647733513,0.24267498491575,0.4742524662566095,0.538257702993767,0.6137045940947795,0.801863964593344
fin24d2_s,52.0,0.6251507988609925,0.1418347471846867,0.229354439523042,0.5767021577358274,0.6438881958042839,0.7153906583638232,0.867926316218336
fin11a_s,31.0,0.38072521139368837,0.1029252499328253,0.164370165876696,0.3121521786689305,0.383128378010141,0.4649968219021835,0.539297836910867
fin11c_s,24.0,0.31072581555504664,0.07593715330123142,0.206725930691508,0.270876551978442,0.296254071630384,0.33130674835100205,0.483083496233266
fin5lm_s,31.0,0.2781917180133004,0.10327821121102806,0.120166582486894,0.1918918976844885,0.28135674961879,0.346873191468191,0.519857125903141
fin6lm_s,36.0,0.2735755750968745,0.10321645420721806,0.126290395671463,0.19228609675987102,0.24448432618884403,0.33662230925047554,0.573544578346002
fin17dw_s,6.0,0.312586371589482,0.0555256991066227,0.246284505169095,0.27544190108853095,0.311302926859647,0.3345830117091275,0.400796604824723
fin14c_s,25.0,0.32080550615343206,0.1306387409532018,0.118934325463172,0.225916128390552,0.297517071044037,0.404664883467803,0.649458341181365
fin13_1a_s,24.0,0.5744696470173758,0.13760681357381424,0.120505097602624,0.5056701102098057,0.593020431933828,0.6787015856225562,0.747731055349572
fin13_1b_s,17.0,0.3863440676070978,0.09404791397644356,0.240380618296331,0.32381978227713,0.372390822732961,0.458656373602428,0.552464670792988
